match_title,poster_available,poster_feature_status,poster_width,poster_height,poster_aspect_ratio,poster_brightness_mean,poster_saturation_mean,poster_red_mean,poster_green_mean,poster_blue_mean,poster_contrast,poster_edge_density
괴물,1,ok,2000,3000,0.6666666666666666,0.23686327040195465,0.2196335792541504,0.24902208149433136,0.2331317663192749,0.22418707609176636,0.2521178722381592,0.010559899958315966
왕의 남자,1,ok,1129,1693,0.6668635558180744,0.22761990129947662,0.3521724045276642,0.27484700083732605,0.21115796267986298,0.18851684033870697,0.29131218791007996,0.08565010424160177
타짜,1,ok,900,1289,0.6982156710628394,0.28506600856781006,0.5691038370132446,0.43133679032325745,0.2215394377708435,0.22853226959705353,0.23649992048740387,0.031805284789416445
투사부일체,1,ok,1148,1723,0.6662797446314568,0.3767862319946289,0.4541585445404053,0.46228697896003723,0.36897337436676025,0.19276368618011475,0.3460816740989685,0.024234171494688903
한반도,1,ok,773,1106,0.6989150090415913,0.4044111371040344,0.20252510905265808,0.3995431959629059,0.40204015374183655,0.42938727140426636,0.3115544617176056,0.0413472623195474
미녀는 괴로워,1,ok,900,1282,0.7020280811232449,0.5003944635391235,0.6087204217910767,0.662508487701416,0.45557495951652527,0.3059818148612976,0.3015514612197876,0.04755927124712308
우리들의 행복한 시간,1,ok,800,1200,0.6666666666666666,0.4008408784866333,0.27792733907699585,0.41981223225593567,0.39901772141456604,0.36047056317329407,0.3217717707157135,0.03518717413972888
사생결단,1,ok,800,1140,0.7017543859649122,0.3355133831501007,0.5201733112335205,0.4066948890686035,0.3166378140449524,0.24601079523563385,0.31909480690956116,0.05065859521640341
비열한 거리,1,ok,900,1263,0.7125890736342043,0.30089226365089417,0.40270161628723145,0.2693940997123718,0.31212764978408813,0.32565388083457947,0.2548074722290039,0.022715815214352356
흡혈형사 나도열,1,ok,800,1200,0.6666666666666666,0.30556195974349976,0.6463249921798706,0.38009458780288696,0.27602916955947876,0.2621452212333679,0.357571542263031,0.07377267987486966
거룩한 계보,1,ok,900,1283,0.7014809041309431,0.42728209495544434,0.23168306052684784,0.4158683121204376,0.42973077297210693,0.4446094334125519,0.34582194685935974,0.04844147732961399
해바라기,1,ok,2000,2850,0.7017543859649122,0.34164029359817505,0.602838397026062,0.4457998275756836,0.3015975058078766,0.2746352553367615,0.2654079496860504,0.04023009789252445
홀리데이,1,ok,865,1289,0.6710628394103957,0.47502875328063965,0.29543226957321167,0.45834583044052124,0.4831824004650116,0.47680091857910156,0.333939790725708,0.05201461880155273
중천,1,ok,900,1283,0.7014809041309431,0.32835763692855835,0.2564263939857483,0.33248642086982727,0.33305174112319946,0.29335832595825195,0.2366342544555664,0.060902810615559785
짝패,1,ok,2000,3000,0.6666666666666666,0.48982077836990356,0.07443764805793762,0.5226770639419556,0.47571417689323425,0.4762815833091736,0.4162221848964691,0.07381008753647353
데이지,1,ok,1400,2100,0.6666666666666666,0.5574647188186646,0.21196839213371277,0.5949883460998535,0.5439212322235107,0.5287845134735107,0.4210171103477478,0.004459627329192546
야수,1,ok,800,1200,0.6666666666666666,0.2820263206958771,0.2607220411300659,0.29319679737091064,0.28105399012565613,0.2577349841594696,0.3083893060684204,0.02856830031282586
싸이보그지만 괜찮아,1,ok,2000,3000,0.6666666666666666,0.5634455680847168,0.5031721591949463,0.5524815320968628,0.6040096879005432,0.3833320140838623,0.22486375272274017,0.003948645268862026
여교수의 은밀한 매력,1,ok,575,857,0.6709451575262544,0.28066137433052063,0.42338401079177856,0.329814076423645,0.26595523953437805,0.22746682167053223,0.282657265663147,0.06533566096748561
작업의 정석,1,ok,618,927,0.6666666666666666,0.5215299725532532,0.34368035197257996,0.6262659430503845,0.482077419757843,0.4499732255935669,0.30752742290496826,0.052019398248774065
백만장자의 첫사랑,1,ok,800,1148,0.6968641114982579,0.44512438774108887,0.2475595474243164,0.47384998202323914,0.43307238817214966,0.4318399727344513,0.38173356652259827,0.05029506467006603
스승의 은혜,1,ok,1000,1500,0.6666666666666666,0.2955613136291504,0.27196821570396423,0.3344629406929016,0.28034257888793945,0.27189260721206665,0.246456578373909,0.04179582985821518
